id	name	country_id	province_id	ed_id	centroid	population
EC-01	Colombo	LK	LK-1	EC-01	[6.869512891053304, 80.01958179512113]	2323964.0
EC-02	Gampaha	LK	LK-1	EC-02	[7.123623235652564, 80.01870806766357]	2304833.0
EC-03	Kalutara	LK	LK-1	EC-03	[6.577064288025407, 80.12753654330727]	1221948.0
EC-04	Kandy	LK	LK-2	EC-04	[7.273083231042684, 80.70991586106767]	1375382.0
EC-05	Matale	LK	LK-2	EC-05	[7.667618556177948, 80.73143147442211]	484531.0
EC-06	Nuwara-Eliya	LK	LK-2	EC-06	[6.974071959804447, 80.71118241283571]	711644.0
EC-07	Galle	LK	LK-3	EC-07	[6.222573504442574, 80.25173579365394]	1063334.0
EC-08	Matara	LK	LK-3	EC-08	[6.143528699707319, 80.54017948676068]	814048.0
EC-09	Hambantota	LK	LK-3	EC-09	[6.260109190948777, 81.09944939807784]	599903.0
EC-10	Jaffna	LK	LK-4	EC-10	[9.537204633438924, 80.21529491401334]	697392.0
EC-11	Vanni	LK	LK-4	EC-11	[8.988606282016681, 80.38576163425742]	363823.0
EC-12	Batticaloa	LK	LK-5	EC-12	[7.792984392552618, 81.486212974938]	526567.0
EC-13	Digamadulla	LK	LK-5	EC-13	[7.235659305279357, 81.5529071174062]	649402.0
EC-14	Trincomalee	LK	LK-5	EC-14	[8.55106380757755, 81.09179206676487]	379541.0
EC-15	Kurunegala	LK	LK-6	EC-15	[7.664915752901301, 80.23686576654394]	1617287.0
EC-16	Puttalam	LK	LK-6	EC-16	[7.974106861261157, 79.91424126051926]	762396.0
EC-17	Anuradhapura	LK	LK-7	EC-17	[8.392369017687503, 80.51293601101536]	860575.0
EC-18	Polonnaruwa	LK	LK-7	EC-18	[7.993772436437627, 81.02574580376526]	406088.0
EC-19	Badulla	LK	LK-8	EC-19	[7.073889686471819, 81.04484216135043]	815405.0
EC-20	Moneragala	LK	LK-8	EC-20	[6.787530858330077, 81.3037782073133]	451058.0
EC-21	Ratnapura	LK	LK-9	EC-21	[6.586797857849697, 80.56659313938349]	1088007.0
EC-22	Kegalle	LK	LK-9	EC-22	[7.10373621420582, 80.34275176869062]	840648.0
