id	name	centroid	province_id	population
LK-1	Western	[6.834825098320717, 80.0669776450327]	LK-1	5850745
LK-2	Central	[7.324026647083187, 80.71781832520287]	LK-2	2571557
LK-3	Southern	[6.2214748382103595, 80.72057202143131]	LK-3	2477285
LK-4	Northern	[9.12799673363932, 80.34161959471582]	LK-4	1061215
LK-5	Eastern	[7.742535875052632, 81.40761387191013]	LK-5	1555510
LK-6	North Western	[7.785639031365662, 80.11037019143448]	LK-6	2379683
LK-7	North Central	[8.263303420540824, 80.67877303154701]	LK-7	1266663
LK-8	Uva	[6.883100354849226, 81.21751102613992]	LK-8	1266463
LK-9	Sabaragamuwa	[6.76059182791688, 80.49117313309674]	LK-9	1928655
